Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month Number,Enrollment Month,Cancellation Year,Cancellation Month Number
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,"$83,236.00",Married,Star,"$3,839.14",Standard,2016,2,February,,
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,"$3,839.61",Standard,2016,3,March,,
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,"$3,839.75",Standard,2014,7,July,2018,1
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,"$3,839.75",Standard,2013,2,February,,
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,"$103,495.00",Married,Star,"$3,842.79",Standard,2014,10,October,,
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,"$51,124.00",Married,Star,"$3,844.57",Standard,2012,5,May,,
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,"$3,857.95",Standard,2014,6,June,,
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,"$100,159.00",Married,Star,"$3,861.49",Standard,2016,12,December,,
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,"$100,159.00",Married,Star,"$3,861.49",Standard,2015,5,May,,
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,"$100,159.00",Married,Star,"$3,861.49",Standard,2016,10,October,,
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,"$66,444.00",Married,Star,"$3,863.31",Standard,2015,3,March,,
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,"$49,618.00",Married,Star,"$3,864.78",Standard,2016,6,June,,
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,"$90,175.00",Single,Star,"$3,867.97",Standard,2018,1,January,,
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,"$3,871.07",Standard,2013,10,October,,
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,"$3,872.22",Standard,2016,11,November,,
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,"$128,118.00",Married,Star,"$3,873.65",Standard,2016,8,August,,
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,"$128,118.00",Married,Star,"$3,873.65",Standard,2016,12,December,,
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,"$94,092.00",Married,Star,"$3,878.77",Standard,2013,10,October,,
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,"$5,303.76",2018 Promotion,2018,3,March,,
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,"$3,885.46",Standard,2014,10,October,2018,1
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,"$3,885.46",Standard,2015,7,July,,
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Married,Star,"$3,885.46",Standard,2018,11,November,,
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,"$3,885.46",Standard,2016,3,March,,
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,"$3,886.50",Standard,2014,5,May,,
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,"$89,062.00",Single,Star,"$3,886.65",Standard,2016,5,May,,
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,"$102,400.00",Single,Star,"$3,887.32",Standard,2015,6,June,,
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,"$98,629.00",Married,Star,"$3,890.87",Standard,2016,10,October,,
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,"$98,629.00",Married,Star,"$3,890.87",Standard,2017,10,October,,
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,"$63,795.00",Married,Star,"$3,890.96",Standard,2013,7,July,,
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,"$54,890.00",Married,Star,"$3,891.54",Standard,2015,11,November,,
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,"$3,891.58",Standard,2014,3,March,,
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,"$51,375.00",Married,Star,"$3,893.31",Standard,2015,4,April,2015,12
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,"$70,222.00",Single,Star,"$3,895.03",Standard,2017,10,October,,
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,"$40,736.00",Married,Star,"$3,896.57",Standard,2012,11,November,,
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,"$75,861.00",Married,Star,"$3,903.47",Standard,2018,5,May,,
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,"$69,835.00",Divorced,Star,"$3,903.80",Standard,2017,5,May,,
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,"$5,337.35",2018 Promotion,2018,4,April,,
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,"$75,980.00",Married,Star,"$3,906.67",Standard,2013,5,May,,
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,"$3,907.03",Standard,2012,5,May,,
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,"$54,460.00",Married,Star,"$3,911.12",Standard,2017,3,March,2017,4
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,"$3,914.72",Standard,2014,6,June,,
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,"$3,914.72",Standard,2013,2,February,,
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,"$3,915.80",Standard,2016,5,May,,
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,"$80,697.00",Married,Star,"$3,919.37",Standard,2016,5,May,,
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,"$80,697.00",Married,Star,"$3,919.37",Standard,2016,9,September,,
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,"$80,697.00",Married,Star,"$3,919.37",Standard,2016,6,June,2017,2
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,"$80,697.00",Married,Star,"$3,919.37",Standard,2018,6,June,,
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,"$80,697.00",Married,Star,"$3,919.37",Standard,2018,5,May,,
